bottle,value,location,position,p2
C1B1F1,4.852765876,Plume,C1B1,South of Vent
C1B1F2,5.347498973,Plume,C1B1,South of Vent
C1B1F3,0.557284051,Plume,C1B1,South of Vent
C1B2F1,5.239996586,Plume,C1B2,South of Vent
C1B2F2,5.158826391,Plume,C1B2,South of Vent
C1B2F3,5.078213567,Plume,C1B2,South of Vent
C1B3F1,5.485128559,Plume,C1B3,South of Vent
C1B3F2,5.132369455,Plume,C1B3,South of Vent
C1B3F3,5.491153848,Plume,C1B3,South of Vent
C1B4F1,5.127252711,Plume,C1B4,South of Vent
C1B4F2,5.285192325,Plume,C1B4,South of Vent
C1B4F3,4.82267797,Plume,C1B4,South of Vent
C1B5F1,5.113598444,Plume,C1B5,South of Vent
C1B5F2,5.05028411,Plume,C1B5,South of Vent
C1B5F3,4.900750677,Plume,C1B5,South of Vent
C1B6F1,4.610730896,Plume,C1B6,South of Vent
C1B6F2,5.109205438,Plume,C1B6,South of Vent
C1B6F3,5.130911206,Plume,C1B6,South of Vent
C1B7F1,2.210199972,Plume,C1B7,Vent
C1B7F2,4.870285844,Plume,C1B7,Vent
C1B7F3,5.02587071,Plume,C1B7,Vent
C1B8F1,4.775997718,Plume,C1B8,Vent
C1B8F2,4.949065237,Plume,C1B8,Vent
C1B8F3,5.050504643,Plume,C1B8,Vent
C1B9F1,4.420815832,Plume,C1B9,North of Vent
C1B9F2,4.820633703,Plume,C1B9,North of Vent
C1B10F1,5.203730892,Plume,C1B10,North of Vent
C1B10F2,4.937281802,Plume,C1B10,North of Vent
C1B10F3,5.193210123,Plume,C1B10,North of Vent
C1B11F1,4.248471312,Plume,C1B11,North of Vent
C1B11F2,4.66431565,Plume,C1B11,North of Vent
C1B11F3,4.77984771,Plume,C1B11,North of Vent
C1B12F1,4.939564995,Above,C1B12,Above Plume
C1B12F2,4.931212201,Above,C1B12,Above Plume
C1B12F3,0.213586968,Above,C1B12,Above Plume
C2B1F1,5.288696302,Below,C2B1,Below Plume
C2B1F2,5.469012053,Below,C2B1,Below Plume
C2B1F3,5.401123921,Below,C2B1,Below Plume
C2B2F1,5.402739928,Plume,C2B2,North of Vent
C2B2F2,1.707301949,Plume,C2B2,North of Vent
C2B2F3,3.001038476,Plume,C2B2,North of Vent
C2B3F1,5.313342464,Plume,C2B3,North of Vent
C2B3F2,5.3858082,Plume,C2B3,North of Vent
C2B3F3,4.541889022,Plume,C2B3,North of Vent
C2B4F1,4.306409245,Plume,C2B4,North of Vent
C2B4F2,2.997403425,Plume,C2B4,North of Vent
C2B4F3,0.935084238,Plume,C2B4,North of Vent
C2B5F1,5.432194993,Plume,C2B5,North of Vent
C2B5F2,5.276642672,Plume,C2B5,North of Vent
C2B5F3,5.219198126,Plume,C2B5,North of Vent
