kegg,bottle,LFC,padj,sig,location
K03086 (rpoD),C1B1,-0.662426058,4.21E-07,TRUE,a South Plume
K03087 (rpoS),C1B1,-0.527010766,0.224038405,FALSE,a South Plume
K03798 (ftsH),C1B1,-0.193867032,0.345171817,FALSE,a South Plume
K03086 (rpoD),C1B2,-0.738275052,1.51E-08,TRUE,a South Plume
K03087 (rpoS),C1B2,1.175761744,0.001208693,TRUE,a South Plume
K03798 (ftsH),C1B2,-0.131408685,0.50662313,FALSE,a South Plume
K03086 (rpoD),C1B3,-0.650746355,1.88E-05,TRUE,a South Plume
K03087 (rpoS),C1B3,1.221495901,0.003422066,TRUE,a South Plume
K03798 (ftsH),C1B3,-0.127224728,0.60049306,FALSE,a South Plume
K03086 (rpoD),C1B4,-0.712835066,1.20E-07,TRUE,a South Plume
K03087 (rpoS),C1B4,0.972994288,0.01247396,TRUE,a South Plume
K03798 (ftsH),C1B4,-0.009548107,0.968043904,FALSE,a South Plume
K03086 (rpoD),C1B5,-0.535341572,0.000130099,TRUE,a South Plume
K03087 (rpoS),C1B5,1.084654249,0.00434342,TRUE,a South Plume
K03798 (ftsH),C1B5,0.176698744,0.375409476,FALSE,a South Plume
K03086 (rpoD),C1B6,-0.775784143,1.70E-09,TRUE,a South Plume
K03087 (rpoS),C1B6,0.642048106,0.088431327,FALSE,a South Plume
K03798 (ftsH),C1B6,-0.325591342,0.050264017,FALSE,a South Plume
K03086 (rpoD),C1B7,-0.505755769,0.000429308,TRUE,b Above Vent
K03087 (rpoS),C1B7,0.225476231,0.624253824,FALSE,b Above Vent
K03798 (ftsH),C1B7,0.399125169,0.018551252,TRUE,b Above Vent
K03086 (rpoD),C1B8,-0.381912422,0.006588783,TRUE,b Above Vent
K03087 (rpoS),C1B8,-1.009593973,0.008489876,TRUE,b Above Vent
K03798 (ftsH),C1B8,0.558469797,0.000461427,TRUE,b Above Vent
K03086 (rpoD),C1B9,-0.432987309,0.000922348,TRUE,c North Plume
K03087 (rpoS),C1B9,0.228693199,0.534470624,FALSE,c North Plume
K03798 (ftsH),C1B9,0.084893762,0.613346931,FALSE,c North Plume
K03086 (rpoD),C1B10,-0.384700864,0.009254872,TRUE,c North Plume
K03087 (rpoS),C1B10,1.083095952,0.004571159,TRUE,c North Plume
K03798 (ftsH),C1B10,-0.339165058,0.063133234,FALSE,c North Plume
K03086 (rpoD),C1B11,-0.32825603,0.045204922,TRUE,c North Plume
K03087 (rpoS),C1B11,0.966396271,0.021550003,TRUE,c North Plume
K03798 (ftsH),C1B11,-0.330576787,0.093525974,FALSE,c North Plume
K03086 (rpoD),C2B2,-0.086060782,0.584047645,FALSE,c North Plume
K03087 (rpoS),C2B2,-0.715415549,0.063873661,FALSE,c North Plume
K03798 (ftsH),C2B2,0.509244973,0.001159052,TRUE,c North Plume
K03086 (rpoD),C2B3,-0.330522317,0.022729883,TRUE,c North Plume
K03087 (rpoS),C2B3,0.854863962,0.024106071,TRUE,c North Plume
K03798 (ftsH),C2B3,-0.014095461,0.954554458,FALSE,c North Plume
K03086 (rpoD),C2B4,-0.361319385,0.020099717,TRUE,c North Plume
K03087 (rpoS),C2B4,0.722531729,0.100741291,FALSE,c North Plume
K03798 (ftsH),C2B4,0.03187263,0.93422688,FALSE,c North Plume
K03086 (rpoD),C2B5,-0.304336262,0.042050729,TRUE,c North Plume
K03087 (rpoS),C2B5,1.035600341,0.005976847,TRUE,c North Plume
K03798 (ftsH),C2B5,-0.10070864,0.646447707,FALSE,c North Plume
